Source Well, Destination Well,Transfer Volume
A1,C3,1500
F1,C3,1500
B1,C3,75
C1,C3,75
D1,C3,75
E1,C3,75
A1,D3,1500
G1,D3,1500
B1,D3,75
C1,D3,75
D1,D3,75
E1,D3,75
H1,E3,1500
C2,E3,1500
J1,E3,75
K1,E3,75
M1,E3,75
O1,E3,75
P1,E3,75
B2,E3,75
H1,F3,1500
C2,F3,1500
J1,F3,75
K1,F3,75
M1,F3,75
O1,F3,75
A2,F3,75
B2,F3,75
H1,C4,1500
C2,C4,1500
J1,C4,75
K1,C4,75
N1,C4,75
O1,C4,75
P1,C4,75
B2,C4,75
H1,D4,1500
C2,D4,1500
J1,D4,75
K1,D4,75
N1,D4,75
O1,D4,75
A2,D4,75
B2,D4,75
H1,E4,1500
C2,E4,1500
J1,E4,75
L1,E4,75
M1,E4,75
O1,E4,75
P1,E4,75
B2,E4,75
H1,F4,1500
C2,F4,1500
J1,F4,75
L1,F4,75
M1,F4,75
O1,F4,75
A2,F4,75
B2,F4,75
H1,C5,1500
C2,C5,1500
J1,C5,75
L1,C5,75
N1,C5,75
O1,C5,75
P1,C5,75
B2,C5,75
H1,D5,1500
C2,D5,1500
J1,D5,75
L1,D5,75
N1,D5,75
O1,D5,75
A2,D5,75
B2,D5,75
I1,E5,1500
C2,E5,1500
J1,E5,75
K1,E5,75
M1,E5,75
O1,E5,75
P1,E5,75
B2,E5,75
I1,F5,1500
C2,F5,1500
J1,F5,75
K1,F5,75
M1,F5,75
O1,F5,75
A2,F5,75
B2,F5,75
I1,C6,1500
C2,C6,1500
J1,C6,75
K1,C6,75
N1,C6,75
O1,C6,75
P1,C6,75
B2,C6,75
I1,D6,1500
C2,D6,1500
J1,D6,75
K1,D6,75
N1,D6,75
O1,D6,75
A2,D6,75
B2,D6,75
I1,E6,1500
C2,E6,1500
J1,E6,75
L1,E6,75
M1,E6,75
O1,E6,75
P1,E6,75
B2,E6,75
I1,F6,1500
C2,F6,1500
J1,F6,75
L1,F6,75
M1,F6,75
O1,F6,75
A2,F6,75
B2,F6,75
I1,C7,1500
C2,C7,1500
J1,C7,75
L1,C7,75
N1,C7,75
O1,C7,75
P1,C7,75
B2,C7,75
I1,D7,1500
C2,D7,1500
J1,D7,75
L1,D7,75
N1,D7,75
O1,D7,75
A2,D7,75
B2,D7,75
